Uhrzeit;lorry_free;lorry_space;utilization
21.04.2020 09:58;18;40;45
22.04.2020 12:53;25;40;62,5
09.04.2020 12:54;38;56;67,85714286
27.04.2021 10:22;35;56;62,5
02.01.2020 12:50;18;116;15,51724138
29.07.2020 09:55;9;116;7,75862069
31.07.2020 12:55;27;116;23,27586207
10.08.2020 10:00;16;116;13,79310345
10.08.2020 10:24;23;116;19,82758621
10.08.2020 13:02;43;116;37,06896552
10.08.2020 13:03;44;116;37,93103448
12.08.2020 10:03;17;116;14,65517241
12.08.2020 13:12;14;116;12,06896552
25.03.2022 13:12;15;116;12,93103448
20.06.2022 10:00;9;116;7,75862069
12.07.2022 08:12;16;116;13,79310345
14.08.2022 13:24;59;116;50,86206897
22.07.2022 17:16;30;40;75
07.08.2022 13:23;58;40;145
13.08.2022 08:57;53;40;132,5
11.04.2022 13:19;10;110;9,090909091
22.07.2022 17:15;39;110;35,45454545
09.08.2022 09:43;11;110;10
15.08.2022 13:26;25;110;22,72727273
21.08.2022 13:19;51;110;46,36363636
05.09.2022 13:24;10;110;9,090909091
07.09.2022 09:33;11;110;10
07.10.2022 13:19;20;110;18,18181818
31.07.2020 12:55;15;10;150
10.08.2020 10:00;12;10;120
10.08.2020 13:03;13;10;130
14.08.2021 09:45;56;10;560
07.09.2021 08:17;33;10;330
08.09.2021 13:09;26;10;260
10.09.2021 07:05;19;10;190
12.09.2021 09:54;77;10;770
12.09.2021 10:32;80;10;800
18.09.2021 09:50;74;10;740
25.03.2022 13:12;26;10;260
18.04.2022 12:50;76;10;760
20.06.2022 10:00;21;10;210
25.03.2022 13:12;24;88;27,27272727
20.04.2022 09:53;23;88;26,13636364
21.02.2023 13:34;24;88;27,27272727
30.07.2020 10:16;28;16;175
09.08.2020 10:12;31;16;193,75
30.03.2021 16:51;67;16;418,75
14.06.2021 10:15;18;16;112,5
03.09.2021 09:58;17;16;106,25
13.01.2022 13:10;24;16;150
16.09.2018 12:51;12;87;13,79310345
17.09.2018 10:25;0;87;0
08.02.2020 10:25;4;87;4,597701149
10.08.2020 10:24;1;87;1,149425287
10.08.2020 13:02;4;87;4,597701149
12.08.2020 10:03;0;87;0
12.08.2020 13:12;1;87;1,149425287
15.04.2021 06:32;0;87;0
17.06.2021 10:01;0;87;0
23.06.2021 12:56;2;87;2,298850575
28.06.2021 07:17;0;87;0
28.06.2021 07:17;0;87;0
28.06.2021 07:40;0;87;0
25.08.2021 07:14;1;87;1,149425287
01.01.2022 09:51;0;87;0
25.03.2022 13:12;0;87;0
21.04.2022 09:38;1;87;1,149425287
22.04.2022 13:16;3;87;3,448275862
